iter	Passed	Remaining
0	19	19878
1	36	18267
2	51	16977
3	63	15792
4	77	15353
5	88	14643
6	99	14174
7	110	13761
8	122	13444
9	133	13230
10	145	13098
11	156	12880
12	168	12767
13	179	12643
14	191	12552
15	202	12470
16	214	12386
17	225	12297
18	236	12195
19	247	12123
20	257	12027
21	269	11960
22	279	11887
23	291	11849
24	302	11784
25	313	11748
26	325	11724
27	336	11676
28	348	11674
29	359	11637
30	371	11611
31	383	11591
32	395	11581
33	408	11600
34	420	11604
35	434	11630
36	447	11643
37	459	11622
38	471	11619
39	483	11608
40	499	11685
41	513	11721
42	526	11709
43	539	11711
44	551	11696
45	564	11714
46	579	11754
47	593	11770
48	609	11827
49	626	11897
50	641	11929
51	657	11981
52	672	12015
53	687	12046
54	703	12094
55	721	12165
56	737	12199
57	753	12244
58	768	12259
59	783	12281
60	799	12301
61	814	12318
62	828	12322
63	844	12345
64	859	12367
65	875	12385
66	891	12412
67	905	12406
68	919	12405
69	933	12401
70	946	12378
71	959	12367
72	973	12365
73	988	12365
74	1000	12340
75	1013	12326
76	1026	12305
77	1038	12277
78	1051	12259
79	1064	12239
80	1078	12239
81	1092	12227
82	1105	12216
83	1139	12421
84	1154	12423
85	1169	12424
86	1183	12420
87	1199	12426
88	1214	12433
89	1230	12440
90	1246	12454
91	1260	12437
92	1275	12437
93	1289	12433
94	1304	12424
95	1319	12427
96	1334	12422
97	1346	12397
98	1359	12373
99	1372	12355
100	1387	12352
101	1403	12353
102	1416	12337
103	1430	12325
104	1444	12311
105	1456	12285
106	1468	12258
107	1481	12239
108	1495	12221
109	1507	12198
110	1520	12176
111	1532	12149
112	1545	12134
113	1557	12107
114	1571	12096
115	1586	12088
116	1601	12090
117	1615	12077
118	1630	12068
119	1644	12057
120	1661	12071
121	1678	12082
122	1694	12080
123	1710	12081
124	1726	12082
125	1740	12069
126	1753	12056
127	1767	12043
128	1781	12027
129	1795	12013
130	1809	12004
131	1824	11995
132	1837	11979
133	1851	11966
134	1864	11948
135	1879	11938
136	1892	11923
137	1906	11907
138	1918	11885
139	1931	11864
140	1944	11845
141	1957	11830
142	1971	11818
143	1985	11800
144	1998	11783
145	2010	11762
146	2023	11743
147	2038	11736
148	2054	11731
149	2069	11727
150	2086	11732
151	2102	11730
152	2116	11717
153	2130	11703
154	2145	11694
155	2158	11678
156	2171	11660
